sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
0,07:30:00,07:45:00,2024-01-01,0,152,13,30,195,153,7,30,190,118,40,10,168,70,11,9,90
0,07:45:00,08:00:00,2024-01-01,0,165,12,18,195,173,5,35,213,150,38,13,201,118,12,8,138
0,08:00:00,08:15:00,2024-01-01,0,184,7,32,223,146,10,31,187,157,28,17,202,89,7,11,107
0,08:15:00,08:30:00,2024-01-01,0,195,9,24,228,251,17,38,306,163,32,23,218,136,13,12,161
0,08:30:00,08:45:00,2024-01-01,0,174,9,28,211,112,6,27,145,168,42,14,224,132,17,10,159
0,08:45:00,09:00:00,2024-01-01,0,270,19,53,342,166,5,35,206,104,28,10,142,84,13,13,110
0,09:00:00,09:15:00,2024-01-01,0,224,22,43,289,210,8,30,248,202,37,23,262,120,15,19,154
0,09:15:00,09:30:00,2024-01-01,0,213,23,34,270,167,8,30,205,146,25,11,182,116,21,15,152
0,10:00:00,10:15:00,2024-01-01,0,129,11,23,163,90,3,19,112,90,24,8,122,99,16,7,122
0,10:15:00,10:30:00,2024-01-01,0,143,17,24,184,135,6,22,163,93,18,17,128,77,6,9,92
0,10:30:00,10:45:00,2024-01-01,0,135,11,21,167,97,1,17,115,131,29,7,167,61,10,9,80
0,10:45:00,11:00:00,2024-01-01,0,149,14,17,180,116,12,22,150,117,22,10,149,81,3,10,94
0,11:00:00,11:15:00,2024-01-01,0,129,11,19,159,114,5,14,133,102,27,8,137,47,5,10,62
0,11:15:00,11:30:00,2024-01-01,0,129,4,14,147,92,3,17,112,100,20,9,129,54,4,2,60
0,11:30:00,11:45:00,2024-01-01,0,121,6,27,154,110,3,20,133,76,12,3,91,73,7,12,92
0,11:45:00,12:00:00,2024-01-01,0,111,7,14,132,137,6,26,169,131,28,11,170,73,9,8,90
0,13:00:00,13:15:00,2024-01-01,0,80,8,15,103,90,5,16,111,68,12,10,90,75,10,4,89
0,13:15:00,13:30:00,2024-01-01,0,131,10,26,167,89,4,16,109,69,14,9,92,86,16,15,117
0,13:30:00,13:45:00,2024-01-01,0,109,5,14,128,77,4,16,97,88,22,16,126,96,17,8,121
0,13:45:00,14:00:00,2024-01-01,0,104,4,18,126,109,4,24,137,64,14,7,85,70,4,5,79
0,14:00:00,14:15:00,2024-01-01,0,64,7,9,80,64,4,11,79,54,14,3,71,50,8,0,58
0,14:15:00,14:30:00,2024-01-01,0,123,7,16,146,97,2,19,118,68,19,7,94,55,7,12,74
0,14:30:00,14:45:00,2024-01-01,0,85,4,15,104,99,5,17,121,79,22,9,110,47,7,4,58
0,14:45:00,15:00:00,2024-01-01,0,108,6,15,129,98,5,17,120,91,19,7,117,77,18,11,106
0,16:00:00,16:15:00,2024-01-01,0,95,8,12,115,110,4,16,130,63,18,6,87,60,7,10,77
0,16:15:00,16:30:00,2024-01-01,0,87,7,16,110,146,6,18,170,55,17,8,80,47,5,11,63
0,16:30:00,16:45:00,2024-01-01,0,119,12,20,151,110,5,22,137,63,15,5,83,74,9,9,92
0,16:45:00,17:00:00,2024-01-01,0,145,9,19,173,70,3,17,90,68,26,10,104,72,14,12,98
0,17:00:00,17:15:00,2024-01-01,0,86,5,17,108,97,1,17,115,65,19,7,91,32,11,5,48
0,17:15:00,17:30:00,2024-01-01,0,118,10,16,144,96,8,16,120,65,11,2,78,42,11,9,62
0,17:30:00,17:45:00,2024-01-01,0,134,13,21,168,98,3,19,120,68,22,7,97,81,9,9,99
0,17:45:00,18:00:00,2024-01-01,0,58,7,19,84,98,5,19,122,98,14,9,121,61,11,4,76
