location_slug,approach,movement,edges
McCowan_Finch,n,r,edge_N_in edge_W_out
McCowan_Finch,n,t,edge_N_in edge_S_out
McCowan_Finch,n,l,edge_N_in edge_E_out
McCowan_Finch,s,r,edge_S_in edge_E_out
McCowan_Finch,s,t,edge_S_in edge_N_out
McCowan_Finch,s,l,edge_S_in edge_W_out
McCowan_Finch,e,r,edge_E_in edge_N_out
McCowan_Finch,e,t,edge_E_in edge_W_out
McCowan_Finch,e,l,edge_E_in edge_S_out
McCowan_Finch,w,r,edge_W_in edge_S_out
McCowan_Finch,w,t,edge_W_in edge_E_out
McCowan_Finch,w,l,edge_W_in edge_N_out
