location_name,start_time,end_time,date,day_of_week,n_approaching_t,n_approaching_r,n_approaching_l,n_approaching_peds,s_approaching_t,s_approaching_r,s_approaching_l,s_approaching_peds,e_approaching_t,e_approaching_r,e_approaching_l,e_approaching_peds,w_approaching_t,w_approaching_r,w_approaching_l,w_approaching_peds
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-01,0,152,13,30,14,153,7,30,15,118,40,10,11,70,11,9,19
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-01,0,165,12,18,15,173,5,35,7,150,38,13,11,118,12,8,14
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-01,0,184,7,32,18,146,10,31,14,157,28,17,16,89,7,11,12
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-01,0,195,9,24,12,251,17,38,19,163,32,23,15,136,13,12,19
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-01,0,174,9,28,10,112,6,27,13,168,42,14,9,132,17,10,16
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-01,0,270,19,53,12,166,5,35,12,104,28,10,15,84,13,13,15
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-01,0,224,22,43,10,210,8,30,17,202,37,23,19,120,15,19,16
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-01,0,213,23,34,16,167,8,30,18,146,25,11,14,116,21,15,16
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-01,0,129,11,23,21,90,3,19,12,90,24,8,12,99,16,7,14
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-01,0,143,17,24,10,135,6,22,16,93,18,17,19,77,6,9,13
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-01,0,135,11,21,13,97,1,17,11,131,29,7,14,61,10,9,13
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-01,0,149,14,17,22,116,12,22,16,117,22,10,8,81,3,10,15
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-01,0,129,11,19,12,114,5,14,14,102,27,8,21,47,5,10,16
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-01,0,129,4,14,14,92,3,17,14,100,20,9,13,54,4,2,16
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-01,0,121,6,27,13,110,3,20,18,76,12,3,16,73,7,12,15
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-01,0,111,7,14,13,137,6,26,14,131,28,11,10,73,9,8,17
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-01,0,80,8,15,20,90,5,16,18,68,12,10,12,75,10,4,21
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-01,0,131,10,26,14,89,4,16,14,69,14,9,23,86,16,15,17
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-01,0,109,5,14,20,77,4,16,24,88,22,16,18,96,17,8,14
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-01,0,104,4,18,11,109,4,24,11,64,14,7,15,70,4,5,19
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-01,0,64,7,9,10,64,4,11,11,54,14,3,16,50,8,0,17
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-01,0,123,7,16,11,97,2,19,9,68,19,7,14,55,7,12,17
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-01,0,85,4,15,12,99,5,17,15,79,22,9,16,47,7,4,15
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-01,0,108,6,15,14,98,5,17,19,91,19,7,25,77,18,11,14
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-01,0,95,8,12,15,110,4,16,13,63,18,6,15,60,7,10,17
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-01,0,87,7,16,21,146,6,18,10,55,17,8,15,47,5,11,15
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-01,0,119,12,20,11,110,5,22,17,63,15,5,5,74,9,9,14
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-01,0,145,9,19,14,70,3,17,13,68,26,10,16,72,14,12,11
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-01,0,86,5,17,20,97,1,17,15,65,19,7,11,32,11,5,13
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-01,0,118,10,16,9,96,8,16,8,65,11,2,14,42,11,9,15
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-01,0,134,13,21,18,98,3,19,20,68,22,7,24,81,9,9,15
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-01,0,58,7,19,16,98,5,19,11,98,14,9,17,61,11,4,14
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-02,1,141,12,27,15,123,4,15,24,136,34,13,20,64,19,10,21
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-02,1,184,13,34,18,205,10,43,14,106,31,13,14,132,22,22,6
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-02,1,133,8,21,14,215,14,35,17,118,25,12,13,127,19,15,14
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-02,1,252,12,40,23,220,11,24,13,161,25,15,15,128,25,21,14
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-02,1,172,6,32,18,153,5,23,14,136,27,16,16,98,18,14,19
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-02,1,213,15,27,17,156,8,25,6,211,40,17,16,129,18,14,19
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-02,1,164,14,28,17,229,7,38,8,194,46,11,12,151,16,18,15
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-02,1,156,9,24,21,158,2,30,17,72,19,14,12,102,16,16,15
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-02,1,123,13,22,17,107,4,14,24,106,33,7,26,109,14,10,20
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-02,1,167,11,23,10,122,3,20,17,118,30,11,14,90,10,9,16
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-02,1,96,3,18,19,153,5,32,17,123,22,12,15,110,9,16,15
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-02,1,136,10,24,18,125,9,28,15,62,9,9,17,102,17,9,19
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-02,1,150,6,31,14,81,6,17,19,94,20,12,14,71,14,8,21
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-02,1,119,9,16,14,101,6,23,12,73,23,10,24,58,15,6,10
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-02,1,115,16,22,12,100,3,16,15,83,21,10,14,57,7,11,10
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-02,1,143,17,26,10,105,0,13,16,94,33,6,12,79,11,9,11
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-02,1,115,10,15,20,120,8,16,10,95,18,13,17,49,6,9,20
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-02,1,83,4,10,19,105,6,18,17,77,25,7,10,83,14,9,19
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-02,1,125,10,15,16,101,1,12,19,92,19,9,14,76,8,8,19
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-02,1,112,3,19,10,61,6,15,12,65,19,1,23,42,5,4,16
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-02,1,113,5,8,9,104,3,13,13,69,18,5,10,72,11,6,13
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-02,1,126,5,22,12,100,6,19,13,90,19,10,24,58,19,5,13
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-02,1,117,8,15,14,88,3,16,20,67,10,8,17,67,12,7,22
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-02,1,115,11,12,18,118,6,20,16,74,22,11,12,54,4,9,22
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-02,1,112,5,18,16,82,11,14,17,79,15,2,17,55,14,4,20
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-02,1,87,8,14,21,74,8,17,20,66,17,11,15,76,14,8,12
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-02,1,150,12,22,17,131,7,19,12,74,23,7,13,62,11,7,10
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-02,1,117,8,15,16,114,4,21,15,87,18,7,23,68,10,14,12
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-02,1,104,6,16,15,83,3,12,19,67,16,6,12,67,4,6,13
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-02,1,115,10,25,16,134,8,25,20,100,22,10,18,54,7,3,25
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-02,1,128,11,17,10,132,11,18,16,87,17,9,14,92,12,14,21
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-02,1,116,9,14,18,76,2,25,16,83,15,6,12,57,3,7,11
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-03,2,129,8,32,16,131,9,30,13,87,20,10,17,72,11,10,17
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-03,2,227,11,34,18,208,6,26,16,192,42,17,19,127,19,11,21
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-03,2,141,11,27,15,167,7,27,12,153,24,11,12,117,18,16,18
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-03,2,185,17,23,15,140,5,19,9,194,29,14,13,147,25,12,13
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-03,2,193,9,33,11,253,16,42,12,111,25,8,20,114,24,17,15
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-03,2,253,13,37,12,180,8,22,19,114,28,9,10,168,22,13,22
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-03,2,260,20,30,16,220,5,49,15,134,29,23,20,124,23,21,24
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-03,2,124,9,13,11,157,5,22,18,108,25,8,15,82,9,6,13
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-03,2,101,4,23,16,131,5,23,15,101,22,8,10,82,12,12,9
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-03,2,137,8,22,14,118,6,18,12,74,24,11,10,97,12,9,17
McCowan Rd / Finch Ave E,10:30:00,10:45:00,2024-01-03,2,167,16,25,10,132,6,22,17,105,30,10,17,93,13,11,12
McCowan Rd / Finch Ave E,10:45:00,11:00:00,2024-01-03,2,145,6,30,11,110,3,22,11,87,27,9,16,80,5,7,12
McCowan Rd / Finch Ave E,11:00:00,11:15:00,2024-01-03,2,109,9,26,15,115,8,12,9,79,15,9,16,68,10,5,16
McCowan Rd / Finch Ave E,11:15:00,11:30:00,2024-01-03,2,87,9,23,14,99,3,16,8,55,20,7,13,57,9,6,12
McCowan Rd / Finch Ave E,11:30:00,11:45:00,2024-01-03,2,114,10,21,13,91,3,18,18,54,10,1,15,65,8,6,16
McCowan Rd / Finch Ave E,11:45:00,12:00:00,2024-01-03,2,112,11,21,11,85,3,14,23,99,28,9,18,62,7,11,17
McCowan Rd / Finch Ave E,13:00:00,13:15:00,2024-01-03,2,90,6,13,13,102,5,23,13,89,17,6,11,83,14,7,15
McCowan Rd / Finch Ave E,13:15:00,13:30:00,2024-01-03,2,93,13,18,21,118,3,23,14,122,26,12,11,58,10,8,15
McCowan Rd / Finch Ave E,13:30:00,13:45:00,2024-01-03,2,87,6,20,14,85,5,16,14,89,15,10,16,72,9,5,12
McCowan Rd / Finch Ave E,13:45:00,14:00:00,2024-01-03,2,82,8,13,7,104,6,16,10,62,5,2,15,53,6,9,12
McCowan Rd / Finch Ave E,14:00:00,14:15:00,2024-01-03,2,77,1,19,8,58,1,8,9,42,11,0,11,61,7,5,11
McCowan Rd / Finch Ave E,14:15:00,14:30:00,2024-01-03,2,135,13,20,21,113,8,13,19,83,18,10,11,76,14,8,10
McCowan Rd / Finch Ave E,14:30:00,14:45:00,2024-01-03,2,108,8,19,13,107,4,20,16,102,13,12,12,84,13,7,15
McCowan Rd / Finch Ave E,14:45:00,15:00:00,2024-01-03,2,85,5,15,13,86,4,9,14,67,16,6,23,55,6,5,17
McCowan Rd / Finch Ave E,16:00:00,16:15:00,2024-01-03,2,124,6,28,17,83,2,13,20,82,19,5,12,51,10,6,14
McCowan Rd / Finch Ave E,16:15:00,16:30:00,2024-01-03,2,123,11,18,16,109,3,15,17,80,15,4,15,71,13,12,16
McCowan Rd / Finch Ave E,16:30:00,16:45:00,2024-01-03,2,93,7,17,17,79,5,14,17,80,21,5,17,54,7,8,18
McCowan Rd / Finch Ave E,16:45:00,17:00:00,2024-01-03,2,115,12,20,13,102,2,15,21,85,23,6,18,56,14,7,18
McCowan Rd / Finch Ave E,17:00:00,17:15:00,2024-01-03,2,119,12,24,18,99,1,25,14,53,10,2,21,63,9,13,19
McCowan Rd / Finch Ave E,17:15:00,17:30:00,2024-01-03,2,97,13,22,8,78,2,12,11,95,21,9,13,73,8,5,19
McCowan Rd / Finch Ave E,17:30:00,17:45:00,2024-01-03,2,128,9,22,10,121,4,21,12,94,26,6,10,105,15,6,12
McCowan Rd / Finch Ave E,17:45:00,18:00:00,2024-01-03,2,153,15,23,18,80,4,13,12,72,18,3,17,72,11,6,10
McCowan Rd / Finch Ave E,07:30:00,07:45:00,2024-01-04,3,158,14,26,13,112,7,19,13,100,27,12,14,68,12,8,10
McCowan Rd / Finch Ave E,07:45:00,08:00:00,2024-01-04,3,246,22,30,14,182,3,28,13,129,30,10,15,117,12,11,14
McCowan Rd / Finch Ave E,08:00:00,08:15:00,2024-01-04,3,127,8,26,13,123,5,21,7,186,44,13,19,82,7,7,6
McCowan Rd / Finch Ave E,08:15:00,08:30:00,2024-01-04,3,177,11,22,16,177,6,34,16,183,43,14,13,104,29,16,15
McCowan Rd / Finch Ave E,08:30:00,08:45:00,2024-01-04,3,174,11,26,17,184,11,32,13,115,27,7,13,106,17,12,10
McCowan Rd / Finch Ave E,08:45:00,09:00:00,2024-01-04,3,202,15,36,14,220,10,39,11,108,31,12,10,130,16,14,21
McCowan Rd / Finch Ave E,09:00:00,09:15:00,2024-01-04,3,273,26,44,4,219,14,43,7,136,38,12,18,136,16,8,8
McCowan Rd / Finch Ave E,09:15:00,09:30:00,2024-01-04,3,182,22,34,15,147,7,21,23,70,14,11,17,96,23,11,16
McCowan Rd / Finch Ave E,10:00:00,10:15:00,2024-01-04,3,135,9,17,12,111,4,11,12,118,19,14,11,59,18,6,10
McCowan Rd / Finch Ave E,10:15:00,10:30:00,2024-01-04,3,128,5,12,14,117,11,15,14,93,22,17,9,84,11,12,19
